City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yelizovo,RU,53.1873,158.3805,26.74,54,0,13.42,clear sky
79,Orebro,SE,59.2741,15.2066,39.38,38,20,8.05,few clouds
80,Taraz,KZ,42.9,71.3667,50.41,71,100,11.18,overcast clouds
81,Fare,PF,-16.7,-151.0167,81.81,74,46,11.81,scattered clouds
82,Thompson,CA,55.7435,-97.8558,39.36,45,100,9.22,overcast clouds
83,Udachnyy,RU,66.4167,112.4,8.46,84,100,9.04,light snow
84,Upernavik,GL,72.7868,-56.1549,16.93,85,58,4.54,broken clouds
85,Baker City,US,44.7749,-117.8344,57.6,34,0,16.11,clear sky
86,Hovd,MN,48.0056,91.6419,39.47,37,92,6.62,overcast clouds
87,Lagoa,PT,39.05,-27.9833,59.04,81,2,19.86,clear sky
88,Cidreira,BR,-30.1811,-50.2056,70.14,95,100,18.95,light rain
89,Longyearbyen,SJ,78.2186,15.6401,8.44,56,20,21.85,few clouds
90,Huarmey,PE,-10.0681,-78.1522,74.17,75,18,11.68,few clouds
91,Luderitz,NA,-26.6481,15.1594,60.19,87,0,6.2,clear sky
92,Nikolskoye,RU,59.7035,30.7861,30.79,96,35,3.33,scattered clouds
93,Fairbanks,US,64.8378,-147.7164,23.23,61,40,4.61,scattered clouds
94,Ponta Do Sol,PT,32.6667,-17.1,61.72,75,100,14.0,overcast clouds
95,Papa,HU,47.33,17.4674,33.73,60,0,6.91,clear sky
96,Souillac,MU,-20.5167,57.5167,79.18,83,75,11.5,broken clouds
97,Saldanha,ZA,-33.0117,17.9442,59.05,80,0,6.89,clear sky
98,Hasaki,JP,35.7333,140.8333,48.29,74,99,17.09,light rain
99,Yuncheng,CN,35.0231,110.9928,54.14,72,100,4.81,overcast clouds
100,Bilibino,RU,68.0546,166.4372,-3.19,92,46,3.49,scattered clouds
101,Mazagao,BR,-0.115,-51.2894,78.85,90,81,3.85,moderate rain
102,Koslan,RU,63.4564,48.8989,22.1,94,100,8.21,light snow
103,Komsomolskiy,UZ,40.4272,71.7189,57.92,58,100,6.91,overcast clouds
104,Airai,TL,-8.9266,125.4092,56.79,77,20,1.59,few clouds
105,Nemuro,JP,43.3236,145.575,35.73,81,0,14.72,clear sky
106,Yerbogachen,RU,61.2767,108.0108,5.18,95,95,6.73,overcast clouds
107,Road Town,VG,18.4167,-64.6167,82.49,65,40,10.36,scattered clouds
108,San Patricio,US,28.017,-97.5169,88.16,45,0,14.27,clear sky
109,Khipro,PK,25.8285,69.3772,80.47,30,9,10.31,clear sky
110,Hithadhoo,MV,-0.6,73.0833,82.87,69,40,5.14,scattered clouds
111,Chicaman,GT,15.4,-90.7667,79.92,48,61,6.11,broken clouds
112,Alvdal,NO,62.1077,10.6307,23.76,97,100,0.89,overcast clouds
113,Gari,RU,59.4307,62.3497,37.35,100,100,11.56,overcast clouds
114,Elliot Lake,CA,46.3834,-82.6331,38.44,77,96,7.14,overcast clouds
115,Katobu,ID,-4.9408,122.5276,73.31,93,42,2.51,scattered clouds
116,Kaitangata,NZ,-46.2817,169.8464,50.63,87,94,5.17,overcast clouds
117,Provideniya,RU,64.3833,-173.3,4.75,68,0,11.97,clear sky
118,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,0,3.44,clear sky
119,Chake Chake,TZ,-5.2459,39.7666,80.08,79,61,5.91,broken clouds
120,Pevek,RU,69.7008,170.3133,-16.74,96,24,2.1,few clouds
121,Jasidih,IN,24.5167,86.65,78.67,48,2,5.73,clear sky
122,East London,ZA,-33.0153,27.9116,71.92,89,83,13.49,broken clouds
123,Malpe,IN,13.35,74.7167,79.9,77,82,5.23,broken clouds
124,Kodiak,US,57.79,-152.4072,36.91,75,100,9.22,light rain
125,Zhezkazgan,KZ,47.8043,67.7144,50.2,47,83,8.75,broken clouds
126,Tura,IN,25.5198,90.2201,68.83,96,13,6.38,few clouds
127,Andenes,NO,69.3143,16.1194,26.92,63,0,21.85,clear sky
128,Tauranga,NZ,-37.6861,176.1667,67.93,86,2,4.0,clear sky
129,Mahebourg,MU,-20.4081,57.7,79.25,83,75,11.5,broken clouds
