City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Biak,ID,76.44,overcast clouds,-0.9131,122.8766,Penginapan Kim
627,Russell,US,78.08,clear sky,32.3502,-85.1999,Macs
632,Conakry,GN,78.87,haze,9.538,-13.6773,Riviera Royal Hotel
634,Custodia,BR,81.61,overcast clouds,-8.0875,-37.6431,Hotel do Sertão
635,Acapulco,MX,84.7,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
637,Kutum,SD,77.41,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
639,Paranaiba,BR,81.66,broken clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
641,Damnoen Saduak,TH,75.02,overcast clouds,13.5182,99.9547,Maikaew Damnoen Resort
642,Tikrit,IQ,76.91,scattered clouds,34.6071,43.6782,عماره العبطه
645,Riyadh,SA,77.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
653,Juchipila,MX,94.55,clear sky,21.4167,-103.1167,HOTEL JARDIN
654,Narasannapeta,IN,77.72,broken clouds,18.4167,84.05,AVK events and catering
655,Gizo,SB,82.87,overcast clouds,-8.103,156.8419,Imagination Island
